Date,asset,ret,bin
2020-01-07,ABEV3_SA,-0.012591837166414543,-1.0
2020-01-08,ABEV3_SA,-0.035318885757112284,-1.0
2020-01-09,ABEV3_SA,-0.06535585637105734,-1.0
2020-01-10,ABEV3_SA,-0.055055460063573425,-1.0
2020-01-13,ABEV3_SA,-0.07079628324942888,-1.0
2020-01-14,ABEV3_SA,-0.06544497598769639,-1.0
2020-01-15,ABEV3_SA,-0.10074623541079053,-1.0
2020-01-16,ABEV3_SA,-0.09786084711840604,-1.0
2020-01-20,ABEV3_SA,-0.08244693612761644,-1.0
2020-01-21,ABEV3_SA,-0.07950911612114542,-1.0
2020-01-22,ABEV3_SA,-0.09448807505902024,-1.0
2020-01-23,ABEV3_SA,-0.09544232920510576,-1.0
2020-01-24,ABEV3_SA,-0.07372282048163703,-1.0
2020-01-27,ABEV3_SA,-0.0905658059448704,-1.0
2020-01-28,ABEV3_SA,-0.08244693612761644,-1.0
2020-01-29,ABEV3_SA,-0.07814202796248115,-1.0
2020-01-30,ABEV3_SA,-0.08778614243771221,-1.0
2020-01-31,ABEV3_SA,-0.08851540672310787,-1.0
2020-02-03,ABEV3_SA,-0.08300194098641123,-1.0
2020-02-04,ABEV3_SA,-0.08328613270130858,-1.0
2020-02-05,ABEV3_SA,-0.08289843048861323,-1.0
2020-02-06,ABEV3_SA,-0.14048607842021998,-1.0
2020-02-07,ABEV3_SA,-0.14302598797014376,-1.0
2020-02-10,ABEV3_SA,-0.13329355227255013,-1.0
2020-02-11,ABEV3_SA,-0.13690470132591281,-1.0
2020-02-12,ABEV3_SA,-0.129129078730303,-1.0
2020-02-13,ABEV3_SA,-0.10878923889199255,-1.0
2020-02-14,ABEV3_SA,-0.11639243780388919,-1.0
2020-02-17,ABEV3_SA,-0.12650599955526098,-1.0
2020-02-18,ABEV3_SA,-0.10383184228964992,-1.0
2020-02-19,ABEV3_SA,-0.10105384412390639,-1.0
2020-02-20,ABEV3_SA,-0.10327750385942369,-1.0
2020-02-21,ABEV3_SA,-0.10769226299619261,-1.0
2020-02-26,ABEV3_SA,-0.13084706354133946,-1.0
2020-02-27,ABEV3_SA,-0.20137938462624216,-1.0
2020-03-02,ABEV3_SA,-0.21331521456473002,-1.0
2020-03-04,ABEV3_SA,-0.24363165137522924,-1.0
2020-03-05,ABEV3_SA,-0.23965868462886997,-1.0
2020-03-06,ABEV3_SA,-0.24412528396626276,-1.0
2020-03-09,ABEV3_SA,-0.21063403914332135,-1.0
2020-03-10,ABEV3_SA,-0.19694877295687108,-1.0
2020-03-11,ABEV3_SA,-0.13163642997749592,-1.0
2020-03-12,ABEV3_SA,0.012089823148239587,1.0
2020-03-13,ABEV3_SA,-0.11338554561729575,-1.0
2020-03-16,ABEV3_SA,0.06436981962092281,1.0
2020-03-17,ABEV3_SA,-0.00427700870693537,-1.0
2020-03-18,ABEV3_SA,0.08132281357865234,1.0
2020-03-19,ABEV3_SA,0.020512859101811776,1.0
2020-03-20,ABEV3_SA,0.007468932392481031,1.0
2020-03-23,ABEV3_SA,0.03214581739546585,1.0
2020-03-24,ABEV3_SA,0.03985834543078126,1.0
2020-03-25,ABEV3_SA,0.05321908239131856,1.0
2020-03-26,ABEV3_SA,-0.0210938985912279,-1.0
2020-03-27,ABEV3_SA,0.07125693141930123,1.0
2020-03-31,ABEV3_SA,0.04697991390526801,1.0
2020-04-01,ABEV3_SA,0.07784461464189762,1.0
2020-04-02,ABEV3_SA,0.08173486223535953,1.0
2020-04-03,ABEV3_SA,0.1633010554899592,1.0
2020-04-06,ABEV3_SA,0.12816187092193876,1.0
2020-04-07,ABEV3_SA,0.13215154624261571,1.0
2020-04-09,ABEV3_SA,0.18347098688225283,1.0
2020-04-15,ABEV3_SA,0.12762369861623912,1.0
2020-04-16,ABEV3_SA,0.15807857264403036,1.0
2020-04-17,ABEV3_SA,0.18706880896264688,1.0
2020-04-24,ABEV3_SA,0.2538252180719991,1.0
2020-04-27,ABEV3_SA,0.17829463839142412,1.0
2020-04-30,ABEV3_SA,0.25749546580901006,1.0
2020-05-04,ABEV3_SA,0.20238082450663408,1.0
2020-05-05,ABEV3_SA,0.20268016455737192,1.0
2020-05-06,ABEV3_SA,0.19780208164806123,1.0
2020-05-07,ABEV3_SA,0.22530341764245598,1.0
2020-05-08,ABEV3_SA,0.19269122424871088,1.0
2020-05-11,ABEV3_SA,0.21021769324094186,1.0
2020-05-12,ABEV3_SA,0.2551194633070337,1.0
2020-05-13,ABEV3_SA,0.2966248661722406,1.0
2020-05-14,ABEV3_SA,0.26490661901368373,1.0
2020-05-15,ABEV3_SA,0.20274917479593513,1.0
2020-05-18,ABEV3_SA,0.14958662809562306,1.0
2020-05-19,ABEV3_SA,0.1968172979091356,1.0
2020-05-20,ABEV3_SA,0.15733101293442342,1.0
2020-05-21,ABEV3_SA,0.1919192841343038,1.0
2020-05-22,ABEV3_SA,0.20272562774135716,1.0
2020-05-25,ABEV3_SA,0.19641399987791575,1.0
2020-05-26,ABEV3_SA,0.1739825060987108,1.0
2020-05-27,ABEV3_SA,0.07623315691546217,1.0
2020-05-28,ABEV3_SA,0.1645865244605813,1.0
2020-05-29,ABEV3_SA,0.22435888719295716,1.0
2020-06-01,ABEV3_SA,0.19761858565269863,1.0
2020-06-02,ABEV3_SA,0.16808002006896228,1.0
