Date,Open,High,Low,Close,Volume
2020-01-02,34.97107461455598,35.64342777247509,34.75277826448892,35.61723327636719,3978400
2020-01-03,35.119513728723774,36.11494443484933,35.10204962306257,35.4949836730957,4467100
2020-01-06,35.24176274251888,35.975238600633446,35.02346639582928,35.43386459350586,4304900
2020-01-07,35.468787996510095,36.088752126735564,34.99727043886097,35.887916564941406,3623900
2020-01-08,36.06255315286799,37.73033698559649,35.80932860991932,37.677947998046875,9727800
2020-01-09,37.669214936994244,38.053418617398364,37.19769405519158,37.5818977355957,8249400
2020-01-10,37.63429072494911,37.98356622955009,37.5033149089273,37.64302444458008,4514300
2020-01-13,37.983564202164615,39.21475546030761,37.773998244402065,39.03138732910156,8944500
2020-01-14,39.07504328496039,39.33699821621393,38.59479202250595,38.638450622558594,5938500
2020-01-15,38.50747190935628,39.529100482551044,38.28044518805617,39.24094772338867,5810000
2020-01-16,39.38066132102319,39.51164046710151,38.25425465468946,38.68211364746094,5225400
2020-01-17,38.44635038692626,38.856748572581715,37.922440502592416,38.22805404663086,6924400
2020-01-20,38.24551736658332,38.3590323938637,37.02305988464644,37.50331115722656,5251400
2020-01-21,37.54696620348024,37.6954060989231,36.94446957284094,37.285011291503906,5295700
2020-01-22,37.546973256632256,39.1623649597168,37.45092232697915,39.1623649597168,4579000
2020-01-23,38.769428864327736,39.162359586725835,37.98356075765636,38.813087463378906,4179800
2020-01-24,38.81308973019717,38.96152964182806,37.83512306439652,38.306640625,3682000
2020-01-27,37.06671733027254,37.22389095362706,35.704547038179214,35.73947525024414,8418200
2020-01-28,36.06255859900187,36.84842684030378,35.92284905954133,36.3681755065918,5065600
2020-01-29,36.761100231660116,36.857151148744194,35.73947501744791,35.81806182861328,4185800
2020-01-30,34.927418577962534,35.38147541918863,34.630535386812326,35.37274169921875,6891200
2020-01-31,34.91867785406801,35.320342249409,34.43842332601114,34.63925552368164,4972900
2020-02-03,34.028034661890636,34.927414519877374,33.53031927145741,34.490821838378906,7195900
2020-02-04,34.770238251668594,35.18936679441487,33.75734344063069,33.95817565917969,5048000
2020-02-05,34.75277276762603,34.909946381289124,33.093722768091865,33.53031539916992,7074600
2020-02-06,33.98436827496694,34.24632651428378,33.373141265727334,33.9669075012207,4900300
2020-02-07,33.966910789054346,34.019299777238814,32.866695404052734,32.866695404052734,3376300
2020-02-10,32.910358083484745,33.28582808971908,31.78395139571984,32.307861328125,6614600
2020-02-11,32.43883728285759,33.65256439381523,32.22927133196594,33.60890579223633,4951400
2020-02-12,33.65256413102907,35.294150187954074,33.61763591766357,34.92741394042969,8683200
2020-02-13,34.49082412887507,36.73491039432937,34.09789002324458,36.062557220458984,14330100
2020-02-14,36.32451611227009,36.49915388155703,34.54322019217085,34.76151657104492,8251400
2020-02-17,34.92741394042969,36.09748244067159,34.66545900206402,34.92741394042969,3452400
2020-02-18,34.97106994814241,35.52117760956965,34.05422606638867,35.01472854614258,4439500
2020-02-19,34.75277759590578,35.660891194139346,34.490822647052454,35.07585525512695,3507800
2020-02-20,35.04965652679819,35.756937801132395,34.6654562036066,35.09331512451172,4305700
2020-02-21,35.02346114228481,36.16733169555664,34.78770072351173,36.16733169555664,5933400
2020-02-26,34.4908242691445,34.97980930602196,33.51285752632761,33.7049560546875,8645300
2020-02-27,33.512855823803676,34.124086256114204,33.01514042357859,33.294559478759766,7934000
2020-02-28,33.01513430146852,33.30328369140625,32.03716445874485,33.30328369140625,8395900
2020-03-02,33.792272744047764,34.89248478794691,33.29455737526747,34.62179946899414,4635800
2020-03-03,34.31618853134195,36.49915222075223,34.10662588248398,34.87502670288086,7188300
2020-03-04,36.0625532446656,38.20185795641222,35.45132285117547,38.018489837646484,12584800
2020-03-05,37.3374057914597,38.66464798328521,36.630127757726086,37.21516036987305,9592400
2020-03-06,36.52534580500812,36.75237253670842,34.953609466552734,34.953609466552734,9728900
2020-03-09,34.05422639800611,34.05422639800611,32.456295714326565,33.13738250732422,8623700
2020-03-10,33.79227062306158,34.674186280354604,32.176875874622695,33.93198013305664,9528900
2020-03-11,33.37314538022599,33.85339665995364,29.007218599178646,30.963151931762695,10461700
2020-03-12,27.941933739836745,29.426349635953187,25.348573614177,25.968534469604492,19236100
2020-03-13,28.116569057289457,29.050877119338626,24.999295945369074,27.575193405151367,17037700
2020-03-16,25.182664796683934,27.575192376919325,24.056254932909177,24.772268295288086,12457000
2020-03-17,25.06042251448473,27.199725819326236,23.977671115356703,24.44919204711914,13534800
2020-03-18,23.83796113276593,25.32237700255137,20.31029292673024,21.497825622558594,9446000
2020-03-19,20.781813347290537,24.099919105026494,19.803846561671907,23.864158630371094,13819400
2020-03-20,24.623827190631967,25.32237479464143,22.170175192427408,23.916545867919922,12199200
2020-03-23,24.388069028249443,25.575601731482852,22.039199783931256,25.14773941040039,12110200
2020-03-24,26.23921872860479,26.597224583782083,24.780999148198905,25.235055923461914,7904100
2020-03-25,24.990563947830477,27.28704054750198,24.885780979321805,25.627988815307617,6275000
2020-03-26,26.099508556977423,26.32653693894747,24.021328238126717,24.492847442626953,9962300
2020-03-27,23.57600561144655,30.264605588715725,23.462492243160746,28.701602935791016,15402800
2020-03-30,29.705767555047267,31.425943850107,29.277905245633455,29.67957305908203,10422100
2020-03-31,30.49163097003025,32.648399860819644,29.705766149807342,31.251304626464844,9876700
2020-04-01,30.124896430155783,32.6571354334716,29.66210923205644,32.639671325683594,10785000
2020-04-02,33.61763474246396,35.3028826726521,32.552347588620904,34.84009552001953,14377500
2020-04-03,35.27669032077203,35.66089068487438,32.52615506974714,34.752777099609375,14609500
2020-04-06,35.477521213611865,36.123676498370486,34.316183115286925,34.94487762451172,9361600
2020-04-07,35.72201313460625,36.14987542889754,32.15068485994901,32.47376251220703,12130300
2020-04-08,32.613474518158576,33.399342738498476,30.779786445282912,33.1461181640625,8814000
2020-04-09,33.30328878553169,33.565243724890664,30.73612505031333,30.910762786865234,10603800
2020-04-13,30.910760194938593,32.30785530832918,30.395580747325035,31.757747650146484,6103500
2020-04-14,32.07209966341064,33.51285692021146,31.85380331122494,33.18104553222656,4579100
2020-04-15,32.831771376831384,33.8010077530586,31.740289571339144,32.50869369506836,7960400
2020-04-16,32.744450870221215,32.945283102512704,30.998080157142752,31.591846466064453,6948100
2020-04-17,32.08083004787032,32.30785676493024,30.858369270335743,31.29496192932129,4435700
2020-04-20,30.84090602349355,31.25130420027373,30.2995320439313,30.49163055419922,5974000
2020-04-22,30.91076323177156,31.60931085709578,30.474170549576694,30.744855880737305,6946500
2020-04-23,30.77978617454013,32.49122880496177,30.395585787385695,31.923660278320312,8806800
2020-04-24,32.133220218231415,34.351111806961484,31.12032534532963,34.16774368286133,18632100
2020-04-27,34.49081870826545,35.573569925732365,34.193935578551745,35.01472854614258,7616700
2020-04-28,35.51244674876915,35.51244674876915,33.399339790913146,33.74861526489258,8406300
2020-04-29,33.96691562267215,34.359846413721954,33.486660956387844,33.80974197387695,6535500
2020-04-30,34.14154659647461,35.093318781948604,33.91451986614095,34.412235260009766,7620300
2020-05-04,33.818471248892216,35.364009857177734,33.521588069940115,35.364009857177734,6603500
2020-05-05,35.468791161743766,36.586470774906715,34.6043394531286,36.32451248168945,8171000
2020-05-06,36.48168539658894,37.10164956975733,35.46879045331886,36.560272216796875,6586200
2020-05-07,38.00102632872186,41.73825851135488,37.54696955301934,39.30207061767578,22747000
2020-05-08,41.03098532400475,42.087538907824005,39.69500933469913,41.34532928466797,10080300
2020-05-11,41.03971164093375,43.39731276308984,41.03971164093375,41.563621520996094,11411700
2020-05-12,42.08753298602401,43.2052091269578,40.6991681974226,42.39314651489258,8104600
2020-05-13,42.85593771944852,44.70708969175069,42.49792853541081,44.17444610595703,11670500
2020-05-14,44.532450844248494,44.663429973224275,40.64677554557262,41.51123046875,12031000
2020-05-15,40.51580453160423,42.64637574208118,38.44635270267859,39.31953811645508,19162600
2020-05-18,39.118705338116214,39.485444938994306,35.9577751159668,35.9577751159668,18094900
2020-05-19,35.58230613896807,37.18896745737618,35.25922846374317,36.4642219543457,13550700
2020-05-20,36.83968835463856,37.06671840872837,34.752775921636356,35.14570999145508,10568100
2020-05-21,35.1369781375687,35.28541804056339,33.4429965141286,33.60017013549805,12789300
2020-05-22,33.84465987503473,34.81389606557292,33.181040530046296,33.71368408203125,8643400
2020-05-25,34.04550023727009,34.22886837198317,32.74445252467689,32.919090270996094,8586900
2020-05-26,32.85796708075001,33.608907047326305,32.32532346115808,33.076263427734375,11446600
2020-05-27,33.303286810488245,34.071690807183955,32.64839783545997,33.53904724121094,10303200
2020-05-28,34.35983959693933,34.377303702333826,33.2596276045865,33.49538803100586,9203500
2020-05-29,33.72241918137123,34.10662288878454,31.932389779361785,33.058799743652344,14915400
2020-06-01,33.45173680500544,34.054233584673426,32.744455369878295,33.57398223876953,8218400
2020-06-02,33.18977322795063,33.783539524197366,33.093725638769364,33.54777908325195,7999400
2020-06-03,33.49539171648762,33.57397853394094,32.665864939133186,33.294559478759766,9467800
2020-06-04,33.355682421059434,34.9274154501276,33.0849937521833,34.79643630981445,11986800
2020-06-05,34.26379721695621,34.37730892285196,33.32948575662327,33.44300079345703,13046900
2020-06-08,33.312016989028145,34.010564488642075,32.80556796997227,33.32074737548828,11150700
2020-06-09,33.98437204122073,34.22886620294956,33.128650802514215,33.32948303222656,9234400
2020-06-10,33.5041221046767,34.00183750490179,33.10245762922101,33.294559478759766,7899100
2020-06-12,33.10245752758919,33.74861617254798,31.609311331498223,32.31658935546875,11200800
2020-06-15,31.97604677949538,33.94071382898624,31.7926786543013,33.60890579223633,13839900
2020-06-16,33.31202206971105,34.132815090575974,33.11118651018736,33.26836013793945,7414400
2020-06-17,33.530314876942484,33.9669075012207,33.242162146068914,33.9669075012207,4664700
2020-06-18,34.22885993664947,34.74403932931483,33.74860875082786,34.53447341918945,8109600
2020-06-19,34.53448044034119,35.058393656702044,33.966911952955876,34.490821838378906,17643200
2020-06-22,34.58687187277556,34.7353117818217,33.643830106114,34.04549789428711,5353100
2020-06-23,33.60890313066164,34.22886388442408,33.02386725683386,33.21596908569336,5522100
2020-06-24,33.355683883436214,33.87959380578217,33.0675310944893,33.7049560546875,4758500
2020-06-25,33.722417833723675,33.87959146575928,33.09372663651908,33.25090026855469,4517300
2020-06-26,33.48665829502721,33.84466417084406,32.75318243592221,33.076263427734375,5755800
2020-06-29,33.02387261887283,33.32075579761585,32.56981579662242,32.94528579711914,4028400
2020-06-30,32.910357530670794,33.128653887329115,31.827609466970834,32.12449264526367,9773000
2020-07-01,32.12448220498369,32.52614657127116,31.556910529754507,32.43009567260742,7546200
2020-07-02,32.482491868658386,32.726982672024334,32.02843514030921,32.15068054199219,7805900
2020-07-03,32.19434178845607,32.543617248535156,31.801407728601507,32.543617248535156,3860900
2020-07-06,32.54361287031914,32.54361287031914,32.089556165677365,32.22053527832031,4914800
2020-07-07,31.452136491124445,32.53488445237762,31.34735518250524,31.600576400756836,9665600
2020-07-08,31.565654754638672,32.072100574000736,31.565654754638672,31.565654754638672,6632800
2020-07-09,31.583115406184664,32.133223159781025,31.356088659983506,31.845073699951172,5261800
2020-07-10,31.845074238823507,32.21181052680149,31.670436483670027,32.0284423828125,4828700
2020-07-13,32.09828948660508,32.32531952515034,31.434670138189148,31.487062454223633,5427900
2020-07-14,31.52199364400347,32.32532599598795,31.18145184895392,32.01097869873047,6874300
2020-07-15,32.31659080578085,34.26379721620673,32.05463584696391,33.92325210571289,15040600
2020-07-16,33.72241527080849,34.132813426704146,33.22469991750156,33.81846618652344,7292000
2020-07-17,33.83593371731111,34.840098243877435,33.48665823043467,34.79643630981445,7262600
2020-07-20,34.53447815698222,35.25048984082324,34.35984042974201,35.13697814941406,6042800
2020-07-21,35.10205489479366,35.45132706765974,34.840099932409586,35.364009857177734,7915800
2020-07-22,35.14571086062661,35.62596214408736,33.984372728990536,34.490821838378906,9693300
2020-07-23,34.682924573357745,35.97523854401371,34.3685773016694,35.57357406616211,7543400
2020-07-24,35.38147249231573,37.608094576279626,35.09331971403415,36.93574142456055,11928200
2020-07-27,36.41182938654743,36.79602973745681,35.722012167719875,36.3856315612793,4641500
2020-07-28,36.324510677018445,36.77856747684841,35.71328357237993,36.67378616333008,2960800
2020-07-29,36.682515677308864,36.682515677308864,35.78313581825755,36.22846221923828,4439700
2020-07-30,36.08875599090214,37.51204586601272,36.08002227113884,36.86589050292969,4638400
2020-07-31,37.02306164964172,37.24135799585201,36.245923859145215,36.67378616333008,4579700
2020-08-03,37.02306400575297,38.149470692368716,36.516614851464965,37.62556076049805,6427400
2020-08-04,37.89624528805644,37.90497567588984,36.167335374521336,36.7436408996582,5187000
2020-08-05,37.11037264066697,40.13159276681159,36.97939352250144,39.53782653808594,11751000
2020-08-06,40.384823030823114,41.03098166492892,39.81725121260939,40.445945739746094,6273600
2020-08-07,40.00062230255819,41.42391203260814,40.00062230255819,40.323699951171875,6742900
2020-08-10,40.16652103802293,41.476298897958465,40.16652103802293,41.35405349731445,4018700
2020-08-11,41.30166470532575,41.72952697499838,40.65550943798867,40.952392578125,5106900
2020-08-12,41.29293568521554,41.493767914467526,40.26257671361824,41.240543365478516,6583100
2020-08-13,41.10957201926883,42.42808056501614,40.891275659772134,41.62474822998047,8452900
2020-08-14,42.5852478892391,45.58027376344583,42.11372702329071,44.087127685546875,19204500
2020-08-17,43.659266717604126,45.274658253780395,43.659266717604126,44.51498794555664,8033900
2020-08-18,44.51498642344282,45.76364167534568,44.18317507507219,45.405635833740234,5378000
2020-08-19,45.658864904962996,46.93371477668124,44.20937728881836,44.20937728881836,7816800
2020-08-20,44.969042910343155,46.785269931591515,44.742016198155895,45.623931884765625,9826700
2020-08-21,45.34451923499264,45.754917449269534,44.45386970476038,45.53662109375,6438300
2020-08-24,45.5802796986663,45.73745334111541,44.71582466519621,45.53662109375,5463900
2020-08-25,45.56281182684451,45.70252134959893,44.13951877376411,44.61977005004883,5292000
2020-08-26,44.26176731550273,45.38817729590805,43.50209694006245,45.196075439453125,8361100
2020-08-27,45.05637028057844,45.17861904805914,44.11333167658129,44.89919662475586,3136800
